iter	Passed	Remaining
0	1	158
1	3	154
2	4	142
3	5	129
4	6	130
5	8	127
6	9	125
7	10	124
8	12	124
9	13	121
10	14	119
11	15	117
12	17	117
13	18	116
14	20	115
15	21	114
16	23	112
17	24	110
18	25	109
19	27	109
20	28	108
21	30	106
22	31	105
23	32	104
24	34	103
25	35	101
26	37	100
27	38	99
28	39	97
29	41	96
30	42	94
31	43	93
32	45	91
33	46	90
34	48	89
35	49	88
36	51	86
37	52	85
38	54	84
39	55	83
40	56	81
41	57	79
42	58	77
43	60	76
44	61	74
45	62	73
46	64	72
47	65	71
48	66	69
49	68	68
50	69	66
51	71	65
52	72	64
53	73	62
54	74	61
55	76	59
56	77	58
57	79	57
58	80	55
59	82	54
60	84	53
61	85	52
62	87	51
63	88	49
64	89	48
65	91	47
66	92	45
67	94	44
68	95	43
69	97	41
70	98	40
71	100	39
72	101	37
73	103	36
74	104	34
75	105	33
76	107	32
77	108	30
78	110	29
79	112	28
80	113	26
81	115	25
82	116	23
83	117	22
84	119	21
85	120	19
86	122	18
87	124	17
88	126	15
89	128	14
90	129	12
91	131	11
92	132	9
93	134	8
94	135	7
95	136	5
96	139	4
97	140	2
98	142	1
99	143	0
