iter	Passed	Remaining
0	245	244767
1	248	124009
2	251	83715
3	256	63942
4	259	51690
5	268	44441
6	271	38509
7	275	34101
8	280	30863
9	283	28070
10	288	25972
11	295	24313
12	298	22645
13	301	21208
14	304	19986
15	310	19120
16	314	18175
17	317	17319
18	321	16619
19	325	15925
20	328	15300
21	332	14768
22	337	14322
23	340	13836
24	344	13427
25	348	13043
26	352	12720
27	355	12324
28	356	11949
29	358	11595
30	361	11289
31	362	10968
32	364	10684
33	366	10408
34	367	10139
35	369	9904
36	372	9687
37	373	9457
38	375	9243
39	376	9035
40	378	8856
41	380	8672
42	381	8497
43	383	8331
44	384	8169
45	386	8013
46	387	7863
47	389	7719
48	390	7584
49	392	7453
50	395	7360
51	397	7247
52	399	7130
53	400	7015
54	402	6907
55	403	6803
56	405	6702
57	406	6607
58	410	6541
59	412	6459
60	413	6369
61	415	6282
62	416	6198
63	418	6116
64	420	6043
65	421	5965
66	423	5894
67	425	5828
68	426	5757
69	428	5689
70	429	5622
71	431	5557
72	432	5493
73	433	5429
74	435	5365
75	436	5304
76	437	5246
77	440	5201
78	441	5146
79	442	5092
80	444	5038
81	445	4985
82	446	4928
83	447	4878
84	448	4829
85	449	4781
86	451	4735
87	453	4695
88	454	4654
89	456	4612
90	457	4569
91	458	4527
92	460	4486
93	461	4446
94	462	4406
95	463	4368
96	465	4330
97	466	4293
98	470	4278
99	471	4244
100	472	4209
101	474	4177
102	475	4143
103	477	4110
104	478	4077
105	479	4044
106	480	4013
107	483	3997
108	485	3967
109	486	3937
110	487	3907
111	489	3878
112	490	3850
113	491	3822
114	493	3794
115	494	3767
116	496	3748
117	499	3730
118	500	3706
119	502	3682
120	503	3659
121	505	3634
122	506	3609
123	507	3585
124	509	3564
125	510	3541
126	511	3517
127	513	3496
128	514	3475
129	516	3453
130	518	3436
131	519	3416
132	520	3394
133	522	3374
134	523	3355
135	524	3334
136	526	3314
137	528	3298
138	529	3279
139	530	3260
140	532	3242
141	533	3220
142	534	3202
143	535	3183
144	536	3165
145	538	3149
146	539	3133
147	541	3115
148	542	3101
149	544	3085
150	545	3068
151	547	3051
152	548	3035
153	549	3019
154	550	3003
155	552	2990
156	554	2977
157	556	2963
158	557	2951
159	559	2937
160	560	2920
161	561	2905
162	563	2892
163	564	2879
164	566	2865
165	567	2852
166	569	2838
167	570	2824
168	571	2811
169	573	2800
170	574	2787
171	576	2774
172	577	2760
173	578	2748
174	580	2735
175	581	2723
176	583	2712
177	584	2700
178	586	2687
179	587	2677
180	589	2665
181	590	2653
182	591	2641
183	593	2631
184	594	2619
185	595	2607
186	597	2596
187	598	2584
188	599	2573
189	601	2562
190	602	2553
191	604	2542
192	605	2532
193	606	2520
194	608	2510
195	609	2500
196	610	2489
197	612	2479
198	613	2468
199	614	2458
200	615	2448
201	617	2440
202	618	2430
203	620	2420
204	621	2412
205	623	2402
206	624	2392
207	625	2382
208	627	2373
209	628	2363
210	629	2353
211	630	2344
212	632	2337
213	633	2328
214	635	2320
215	637	2312
216	638	2303
217	639	2294
218	640	2285
219	642	2276
220	643	2267
221	644	2259
222	646	2251
223	647	2244
224	649	2237
225	650	2228
226	652	2221
227	653	2213
228	655	2206
229	656	2198
230	658	2192
231	659	2184
232	661	2176
233	663	2171
234	664	2163
235	666	2156
236	667	2148
237	668	2140
238	669	2132
239	671	2125
240	672	2117
241	673	2109
242	674	2102
243	678	2101
244	679	2095
245	681	2088
246	682	2081
247	685	2077
248	686	2070
249	687	2063
250	689	2056
251	690	2049
252	692	2044
253	693	2037
254	694	2030
255	696	2022
256	697	2016
257	698	2009
258	700	2005
259	702	1998
260	703	1991
261	704	1985
262	706	1981
263	708	1974
264	709	1968
265	710	1961
266	712	1955
267	713	1949
268	714	1942
269	716	1936
270	717	1930
271	718	1923
272	720	1918
273	722	1914
274	723	1908
275	725	1903
276	726	1897
277	728	1890
278	729	1885
279	730	1879
280	732	1873
281	733	1867
282	734	1861
283	736	1857
284	739	1855
285	741	1849
286	742	1844
287	743	1838
288	745	1833
289	746	1828
290	748	1822
291	750	1819
292	752	1815
293	754	1811
294	755	1806
295	757	1802
296	759	1798
297	761	1794
298	763	1790
299	765	1785
300	767	1781
301	768	1777
302	770	1772
303	771	1766
304	773	1761
305	774	1756
306	775	1751
307	777	1746
308	778	1741
309	780	1736
310	782	1732
311	783	1727
312	784	1721
313	785	1716
314	787	1711
315	788	1706
316	789	1702
317	791	1697
318	792	1692
319	794	1688
320	796	1685
321	798	1680
322	799	1675
323	801	1672
324	803	1669
325	805	1665
326	807	1661
327	809	1657
328	811	1654
329	812	1649
330	813	1644
331	815	1640
332	816	1635
333	818	1631
334	820	1628
335	821	1623
336	822	1618
337	824	1614
338	826	1610
339	827	1605
340	828	1601
341	830	1596
342	831	1592
343	833	1588
344	834	1584
345	835	1579
346	837	1575
347	838	1570
348	840	1568
349	843	1566
350	845	1562
351	846	1558
352	848	1554
353	849	1549
354	850	1546
355	852	1542
356	853	1538
357	856	1535
358	857	1531
359	859	1527
360	860	1523
361	862	1519
362	863	1515
363	864	1510
364	867	1508
365	868	1504
366	870	1501
367	871	1497
368	873	1493
369	874	1489
370	876	1485
371	877	1481
372	878	1477
373	880	1473
374	881	1469
375	882	1464
376	883	1460
377	886	1458
378	887	1454
379	889	1451
380	891	1447
381	892	1443
382	893	1439
383	895	1435
384	896	1431
385	897	1427
386	899	1424
387	901	1422
388	903	1418
389	904	1415
390	906	1411
391	907	1407
392	909	1404
393	910	1401
394	912	1397
395	913	1393
396	916	1392
397	918	1389
398	919	1385
399	921	1381
400	922	1378
401	923	1374
402	925	1370
403	926	1366
404	927	1362
405	928	1359
406	931	1357
407	934	1356
408	936	1352
409	937	1349
410	938	1345
411	940	1341
412	941	1337
413	942	1334
414	944	1331
415	946	1328
416	947	1324
417	948	1321
418	950	1317
419	951	1314
420	953	1310
421	955	1308
422	956	1304
423	957	1301
424	959	1297
425	960	1294
426	962	1291
427	963	1287
428	964	1284
429	966	1280
430	967	1277
431	968	1273
432	970	1270
433	971	1266
434	973	1264
435	975	1262
436	978	1260
437	980	1257
438	981	1254
439	982	1250
440	984	1247
441	985	1244
442	986	1240
443	988	1237
444	989	1234
445	991	1231
446	992	1228
447	994	1225
448	996	1222
449	997	1218
450	998	1215
451	999	1212
452	1001	1208
453	1002	1205
454	1003	1202
455	1006	1200
456	1008	1197
457	1009	1194
458	1010	1191
459	1011	1187
460	1013	1184
461	1014	1181
462	1016	1178
463	1018	1176
464	1020	1174
465	1022	1171
466	1023	1168
467	1024	1164
468	1026	1161
469	1027	1158
470	1028	1155
471	1030	1152
472	1031	1149
473	1032	1146
474	1034	1143
475	1035	1140
476	1037	1137
477	1039	1135
478	1041	1132
479	1042	1129
480	1044	1126
481	1045	1123
482	1046	1120
483	1047	1117
484	1049	1114
485	1051	1111
486	1052	1108
487	1053	1105
488	1054	1102
489	1056	1099
490	1057	1096
491	1059	1093
492	1061	1091
493	1062	1088
494	1064	1085
495	1066	1083
496	1068	1080
497	1069	1077
498	1070	1074
499	1072	1072
500	1073	1069
501	1075	1066
502	1076	1063
503	1077	1060
504	1079	1057
505	1080	1055
506	1082	1052
507	1083	1049
508	1084	1046
509	1087	1044
510	1088	1041
511	1089	1038
512	1091	1036
513	1093	1033
514	1094	1031
515	1096	1028
516	1097	1025
517	1099	1022
518	1101	1020
519	1103	1018
520	1104	1015
521	1106	1012
522	1107	1009
523	1108	1007
524	1110	1004
525	1112	1002
526	1114	999
527	1115	997
528	1116	994
529	1118	991
530	1119	988
531	1120	985
532	1122	983
533	1123	980
534	1125	977
535	1126	975
536	1127	972
537	1129	969
538	1130	966
539	1131	964
540	1133	961
541	1134	958
542	1135	955
543	1136	953
544	1138	950
545	1141	948
546	1142	946
547	1144	943
548	1146	941
549	1147	939
550	1149	937
551	1151	934
552	1152	931
553	1154	929
554	1156	927
555	1158	925
556	1159	922
557	1161	919
558	1162	916
559	1163	914
560	1165	911
561	1166	909
562	1167	906
563	1169	904
564	1171	902
565	1173	899
566	1174	897
567	1176	894
568	1177	891
569	1178	889
570	1179	886
571	1181	883
572	1182	881
573	1185	880
574	1187	877
575	1188	875
576	1190	872
577	1191	870
578	1193	867
579	1194	864
580	1195	862
581	1197	859
582	1201	859
583	1202	856
584	1204	854
585	1205	851
586	1206	849
587	1207	846
588	1209	843
589	1210	841
590	1212	839
591	1214	836
592	1216	834
593	1217	832
594	1219	829
595	1220	827
596	1221	824
597	1224	823
598	1227	821
599	1228	819
600	1230	816
601	1231	814
602	1233	812
603	1234	809
604	1236	807
605	1237	804
606	1239	802
607	1240	799
608	1242	797
609	1243	794
610	1246	793
611	1247	791
612	1249	788
613	1251	786
614	1252	784
615	1253	781
616	1256	779
617	1257	777
618	1258	774
619	1260	772
620	1262	770
621	1263	767
622	1264	765
623	1267	763
624	1268	761
625	1270	759
626	1272	756
627	1273	754
628	1275	752
629	1276	749
630	1278	747
631	1279	745
632	1281	742
633	1282	740
634	1284	738
635	1285	735
636	1286	733
637	1288	731
638	1290	729
639	1291	726
640	1293	724
641	1294	721
642	1295	719
643	1297	717
644	1298	714
645	1299	712
646	1301	709
647	1302	707
648	1304	705
649	1305	702
650	1306	700
651	1308	698
652	1310	696
653	1312	694
654	1313	691
655	1314	689
656	1316	687
657	1317	684
658	1319	682
659	1320	680
660	1321	677
661	1323	675
662	1325	673
663	1326	671
664	1327	668
665	1329	666
666	1331	664
667	1332	662
668	1334	660
669	1337	658
670	1338	656
671	1340	654
672	1341	651
673	1343	649
674	1344	647
675	1346	645
676	1347	643
677	1349	640
678	1351	638
679	1352	636
680	1354	634
681	1355	631
682	1356	629
683	1358	627
684	1359	625
685	1361	623
686	1362	620
687	1364	618
688	1366	616
689	1368	614
690	1369	612
691	1370	610
692	1372	607
693	1373	605
694	1375	603
695	1376	601
696	1378	599
697	1380	597
698	1382	595
699	1383	592
700	1384	590
701	1386	588
702	1387	586
703	1388	583
704	1390	581
705	1391	579
706	1395	578
707	1397	576
708	1398	574
709	1400	572
710	1402	570
711	1404	568
712	1406	566
713	1408	564
714	1410	562
715	1412	560
716	1413	557
717	1415	555
718	1416	553
719	1417	551
720	1419	549
721	1420	547
722	1422	544
723	1424	542
724	1425	540
725	1428	539
726	1429	536
727	1431	534
728	1432	532
729	1434	530
730	1435	528
731	1437	526
732	1439	524
733	1440	522
734	1442	519
735	1444	518
736	1446	516
737	1447	513
738	1449	511
739	1450	509
740	1451	507
741	1453	505
742	1455	503
743	1456	501
744	1458	499
745	1459	497
746	1461	495
747	1463	493
748	1465	491
749	1469	489
750	1472	488
751	1473	486
752	1475	484
753	1476	481
754	1478	479
755	1479	477
756	1481	475
757	1483	473
758	1486	472
759	1488	469
760	1489	467
761	1491	465
762	1493	463
763	1495	461
764	1496	459
765	1498	457
766	1500	455
767	1502	453
768	1503	451
769	1505	449
770	1506	447
771	1507	445
772	1509	443
773	1510	441
774	1512	439
775	1515	437
776	1517	435
777	1518	433
778	1520	431
779	1521	429
780	1523	427
781	1524	424
782	1525	422
783	1527	420
784	1529	419
785	1531	416
786	1532	414
787	1534	412
788	1537	411
789	1539	409
790	1540	406
791	1541	404
792	1544	403
793	1546	401
794	1547	399
795	1549	397
796	1551	395
797	1553	393
798	1554	391
799	1556	389
800	1559	387
801	1560	385
802	1562	383
803	1564	381
804	1566	379
805	1567	377
806	1569	375
807	1570	373
808	1573	371
809	1576	369
810	1577	367
811	1580	365
812	1582	363
813	1583	361
814	1588	360
815	1590	358
816	1592	356
817	1595	354
818	1597	352
819	1598	350
820	1600	348
821	1604	347
822	1606	345
823	1608	343
824	1610	341
825	1612	339
826	1614	337
827	1616	335
828	1618	333
829	1620	331
830	1622	329
831	1624	327
832	1625	325
833	1627	323
834	1630	322
835	1637	321
836	1639	319
837	1641	317
838	1643	315
839	1645	313
840	1648	311
841	1650	309
842	1652	307
843	1654	305
844	1655	303
845	1658	301
846	1660	300
847	1664	298
848	1666	296
849	1667	294
850	1670	292
851	1671	290
852	1673	288
853	1675	286
854	1676	284
855	1678	282
856	1681	280
857	1682	278
858	1684	276
859	1685	274
860	1688	272
861	1689	270
862	1691	268
863	1693	266
864	1695	264
865	1696	262
866	1698	260
867	1700	258
868	1702	256
869	1704	254
870	1705	252
871	1707	250
872	1710	248
873	1713	247
874	1715	245
875	1716	243
876	1718	241
877	1719	238
878	1721	236
879	1723	235
880	1725	233
881	1726	231
882	1728	228
883	1730	227
884	1731	224
885	1733	223
886	1734	220
887	1735	218
888	1738	217
889	1740	215
890	1742	213
891	1744	211
892	1745	209
893	1747	207
894	1748	205
895	1750	203
896	1751	201
897	1753	199
898	1755	197
899	1757	195
900	1759	193
901	1760	191
902	1762	189
903	1763	187
904	1765	185
905	1766	183
906	1769	181
907	1771	179
908	1772	177
909	1774	175
910	1776	173
911	1778	171
912	1779	169
913	1782	167
914	1784	165
915	1786	163
916	1789	161
917	1791	160
918	1793	158
919	1795	156
920	1797	154
921	1800	152
922	1801	150
923	1803	148
924	1804	146
925	1806	144
926	1807	142
927	1809	140
928	1813	138
929	1815	136
930	1816	134
931	1818	132
932	1819	130
933	1821	128
934	1822	126
935	1824	124
936	1826	122
937	1828	120
938	1830	118
939	1832	116
940	1834	115
941	1835	113
942	1837	111
943	1839	109
944	1841	107
945	1843	105
946	1845	103
947	1847	101
948	1848	99
949	1850	97
950	1851	95
951	1853	93
952	1856	91
953	1858	89
954	1860	87
955	1862	85
956	1864	83
957	1865	81
958	1867	79
959	1869	77
960	1871	75
961	1874	74
962	1876	72
963	1878	70
964	1880	68
965	1881	66
966	1883	64
967	1885	62
968	1887	60
969	1888	58
970	1891	56
971	1892	54
972	1894	52
973	1896	50
974	1898	48
975	1899	46
976	1901	44
977	1903	42
978	1905	40
979	1906	38
980	1908	36
981	1910	35
982	1912	33
983	1914	31
984	1916	29
985	1919	27
986	1920	25
987	1922	23
988	1924	21
989	1925	19
990	1927	17
991	1928	15
992	1930	13
993	1932	11
994	1934	9
995	1935	7
996	1937	5
997	1939	3
998	1941	1
999	1942	0
